bacru	gismu	ba'u			x_1 は x_2 （声／音）を発する	意思疎通や話し相手は必ずしも含意しない。「.a'enai do ranji bacru／きみの長話にはうんざりだ」 発声 	{krixa}, {cusku}, {casnu}, {tavla}, {voksa}, {pinka}
badna	gismu				x_1 は x_2 （種類）のバショウ科植物（バナナ等）	「le vi badna zo'u lo pilka cu pelxu／このバナナは皮が黄色い」 バナナ 	{grute}
badri	gismu	dri			x_1 は x_2 （事）について悲しい／落胆している；x_2 は x_1 を悲しませる	「lo nu le va prenu pu morsi binxo cu se badri／その人の死んだことが悲しい」 悲しい 	{klaku}, {gleki}, {betri}, {cinmo}, {junri}
bajra	gismu	baj			x_1 は x_2 （表面）を x_3 （肢）・ x_4 （調子）で走る	「mi sutra bajra／私は速く走る」「le bajra cu jinga ja te jinga／その走者は勝者または敗者である」 ・大意： 走る ・読み方： バジラ・語呂合わせ： ＜場をじらす＞, run
bakfu	gismu	baf			x_1 は x_2 （内容）を x_3 で結んだ束／パッケージ／まとまり	「ti bakfu loi tirse grana loi skori／これは鉄の棒を縄で束ねたものである」 束 	{daski}, {dakli}, {tanxe}
bakni	gismu	bak			x_1 は x_2 （種類）のウシ属動物	「lo bakni lo srasu cu citka／牛が草を食べる」「mi djica genai loi bakni gi loi jipci／私はギュウではなくトリが欲しい」 牛 	{danlu}
bakri	gismu				x_1 は x_2 （起源）・ x_3 （形状）のチョーク	「lo bakri cu ve ciska／チョークで書く」 チョーク 	{pinsi}, {blabi}, {jilka}
baktu	gismu				x_1 は x_2 （内容）・ x_3 （素材）のバケツ／桶／槽	「tansi」よりも底が深い。「風呂／浴槽」「水槽」も。「da kevna le baktu／そのバケツは、どこかに穴が開いている」 バケツ 	{botpi}, {patxu}, {tansi}, {lante}, {lanka}
balji	gismu				x_1 は x_2 （植物種）の球根／球茎／鱗茎／	「lo balji be la likoris. cu vindu mutce／ヒガンバナの球根は毒性が強い」 球根 	{punli}, {batke}
balni	gismu				x_1 は x_2 （構造体）のバルコニー／さじき／ベランダ／張り出し	「la juliet. bu'u lo balni cu tavla la noi bartu romeon.／ジュリエットがバルコニーから外のロミオに語りかける」 バルコニー 	{kajna}
balre	gismu	ba'e			x_1 は x_2 （武器／道具）の刃	「lo se balre cu se darxi zbasu／刃物を鍛造する」 刃 	{dakfu}, {tunta}, {tutci}, {guska}, {kinli}, {katna}
balvi	gismu	bav			x_1 は x_2 よりも未来／後発；x_1 は後者；x_2 は前者	「続編」「後継者」も。時間的な順序のみ。さもなくば「lidne」を。x1が x2 に重複しうる点でアオリスト的。非アオリスト的未来は 「cfabalvi」。「le nu mi nelci do cu balvi le nu do nelci mi／私があなたを好きになる前に、あなたが私を好きになる」 未来 	{lidne}, {cabna}, {purci}, {farna}
bancu	gismu	bac			x_1 は x_2 （境界／限度）をx_3 （照合点）についてx_4 （性質／数量）だけ越している／超えている	境界の向こう側に位置。境界にまたがっていたり「ragve」のように隣接しているとは限らない。また物理空間的な位置とは限らない。「le tcana cu bancu le rirxe／駅は川の向こうにある」 超越 	{dukse}, {ragve}, {zmadu}, {kuspe}
